"Nombre Preferente","Idioma Nombre Preferente","Estatus Nombre Preferente","Variante","Idioma Variante","Grupo","Tipo Entidad","Municipio","Provincia","Comunidad Autónoma","Latitud A","Longitud A","Sistema de Referencia A","Latitud B","Longitud B","Sistema de Referencia B","Mapa","Fuente Nombre Preferente","Fuente Variante","Antes","Idioma Antes"
"Andalucía","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Andalucía","37º23'","-5º59'","ED50","37º22'55""","-5º59'4""","ETRS89","0984","E. Autonomía",,,
"Aragón","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Aragón","41º39'","-0º52'","ED50","41º38'55""","-0º52'4""","ETRS89","0383","E. Autonomía",,,
"Canarias","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Canarias","28º05'","-15º24'","REGCAN95","28º05'","-15º24'","REGCAN95","1104","E. Autonomía",,,
"Cantabria","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Cantabria","43º27'","-3º48'","ED50","43º26'55""","-3º48'5""","ETRS89","0035","E. Autonomía",,,
"Castilla y León","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Castilla y León","41º39'","-4º43'","ED50","41º38'55""","-4º43'5""","ETRS89","0372","E. Autonomía",,,
"Castilla-La Mancha","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Castilla-La Mancha","39º51'","-4º01'","ED50","39º50'55""","-4º1'4""","ETRS89","0629","E. Autonomía",,,
"Cataluña/Catalunya","spa/cat","Oficial",,,"ADMIN","Comunidad autónoma",,,"Cataluña/Catalunya","41º23'","2º10'","ED50","41º22'56""","2º9'56""","ETRS89","0421","E. Autonomía",,,
"Comunidad de Madrid","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Comunidad de Madrid","40º24'","-3º41'","ED50","40º23'55""","-3º41'4""","ETRS89","0559","E. Autonomía",,,
"Comunidad Foral de Navarra","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Comunidad Foral de Navarra","42º48'","-1º38'","ED50","42º47'56""","-1º38'4""","ETRS89","0141","E. Autonomía",,,
"Comunitat Valenciana","cat","Oficial",,,"ADMIN","Comunidad autónoma",,,"Comunitat Valenciana","39º32'","-0º41'","ED50","39º31'55""","-0º41'4""","ETRS89","0722","E. Autonomía",,"Comunidad Valenciana","spa"
